,name,genre,description,install,review,star
10,리니지2M,Role Playing,"리니지2M 1ST ANNIVERSARY
크로니클 IV. 피로 맺은 결의
신서버 ‘안타라스’ & 신규 클래스 ‘대검’ 업데이트!

▣ 게임 소개 ▣

ALL TIME NO.1 GRAPHIC
“시대와 플랫폼의 경계를 넘어선 최고의 비주얼”

현존하는 최고 사양의 Full 3D 그래픽으로
모바일 역사상 가장 아름다운 비쥬얼

One-Channel Seamless Open World 
“가장 거대한 심리스 오픈 월드”

현실 세계와 동일하게 하나의 세상에서
경험의 단절없이 모든 플레이가 이루어지는 리얼리스틱 월드

Complete The MMORPG
“다시 쓰는 MMORPG의 기준”
[월드] 마을/사냥터 별 고유 특징은 유지하면서 더욱 아름답게 재구성
[클래스] 원작의 31개 클래스는 물론 기존에 없던 새로운 클래스 등장
[전투] 강자가 돋보이면서도 약자가 저항할 수 있는 리니지 전투의 완성

▣ 리니지2M 공식 커뮤니티 ▣

1. 리니지2M의 최신 정보와 이벤트 소식을 가장 빠르게 접할 수 있는 리니지2M 커뮤니티
https://lineage2m.plaync.com/board/all/list
2. 운영자와 실시간으로 소통할 수 있고 다양한 영상을 만날 수 있는 리니지2M 페이스북 
https://www.facebook.com/Lineage2MOfficial
3. 언제 어디서나 혈맹원들과 실시간으로 소통할 수 있는 퍼플(PURPLE)
https://play.google.com/store/apps/details?id=com.ncsoft.community
4. 최고 사양의 Full 3D 그래픽의 플레이 환경을 색다르게 제공하는 퍼플 PC 클라이언트 
https://ncpurple.com/ 

※ 보다 많은 소식이 궁금하다면 홈페이지를 확인하세요!
※ 홈페이지: https://lineage2m.plaync.com/ 

▣ 리니지2M은 PURPLE과 함께 ▣ 
PC에서 접속 시, PURPLE과 리니지2M을 함께 설치할 수 있습니다.

▣ 리니지2M은 원활한 게임 플레이를 위해 아래 권한을 필요로 합니다.
선택적 권한은 동의하지 않으셔도 게임 이용이 가능합니다. 

* 선택 권한
- 저장공간 (기기사진, 미디어, 파일) : 화면 캡쳐 및 영상 녹화 이후 파일을 저장하기 위한 권한
- 오디오 : 영상 녹화 시 오디오를 녹음하기 위한 권한

* 접근 권한 철회 방법
- 접근 권한 동의 후, 다음과 같이 접근 권한을 재설정하거나 철회할 수 있습니다.
- 안드로이드6.0 이상 : 설정 > 애플리케이션 관리 > 리니지2M > 권한 선택 > 접근권한 동의 또는 철회
- 안드로이드6.0 미만 : 운영체제를 업그레이드하여 접근권한을 철회하거나, 앱을 삭제

* 최소사양: RAM 3GB

----
리니지2M 고객상담: 1566-7004
리니지2M 팩스: 02-2186-3499
이메일: MobileCS@ncsoft.com
----
개발자 연락처 :
(주)엔씨소프트
주소: 경기도 성남시 분당구 대왕판교로 644번길 12
대표: 김택진
고객상담: 1600-0020
팩스: 02-2186-3550
이메일: credit@ncsoft.com
Lineage 2M 1ST ANNIVERSARY
Chronicle IV. Resolution in blood
New server'Antaras' & new class'Great Sword' update!

▣ Game introduction ▣

ALL TIME NO.1 GRAPHIC
“The best visual beyond the boundaries of times and platforms”

Full 3D graphics of the highest specification available
The most beautiful visual in mobile history

One-Channel Seamless Open World
“The largest seamless open world”

In the same world as in the real world
A realistic world where all play takes place without interruption of experience

Complete The MMORPG
“The standard of reusing MMORPG”
[World] Reconstructed more beautifully while maintaining unique characteristics of each village/hunting site
[Class] In addition to the original 31 classes, a new class that did not exist before appeared
[Battle] Completion of the Lineage Battle where the strong can stand out and the weak can resist

▣ Lineage 2M Official Community ▣

1. Lineage 2M community where you can access the latest information and event news of Lineage 2M the fastest
https://lineage2m.plaync.com/board/all/list
2. Lineage 2M Facebook where you can communicate with the operator in real time and meet various videos
https://www.facebook.com/Lineage2MOfficial
3. Purple (PURPLE) that allows real-time communication with clan members anytime, anywhere
https://play.google.com/store/apps/details?id=com.ncsoft.community
4. Purple PC client that provides a different play environment of the highest specification Full 3D graphics
https://ncpurple.com/

※ For more news, check the website!
※ Homepage: https://lineage2m.plaync.com/

▣ Lineage 2M is with PURPLE ▣
When connected from a PC, PURPLE and Lineage 2M can be installed together.

▣ Lineage 2M requires the following permissions for smooth gameplay.
You can use the game even if you do not agree to the optional permission.

* Select authority
-Storage space (device photo, media, file): permission to save files after screen capture and video recording
-Audio: Permission to record audio when recording video

* How to revoke access rights
-After consenting to access rights, you can reset or revoke access rights as follows.
-Android 6.0 or later: Settings> Application Management> Lineage 2M> Select Permissions> Agree or withdraw access rights
-Under Android 6.0: Upgrade the operating system to revoke access or delete apps

* Minimum specification: RAM 3GB

----
Lineage 2M customer consultation: 1566-7004
Lineage 2M Fax: 02-2186-3499
Email: MobileCS@ncsoft.com
","1,000,000+",80907.0,3.5
11,FIFA Mobile,Sports,"""Play Every Moment, FIFA Mobile"" 

FIFA Mobile은 자신만의 팀을 꾸려 성장 시키는 재미 뿐 아니라,
실제 컨트롤을 통한 선수들의 퍼포먼스에 초점을 맞추어 제작 되었습니다.

■ FIFA LICENSE
FIFA Mobile은 자체 브랜드가 갖고 있는 라이선스를 통해
주기적인 라이브 스쿼드 업데이트가 진행되며, 실제 클럽과 선수들을 만나볼 수 있습니다!

■ 모바일에 최적화된 조작감
FIFA Mobile은 자동/수동 조작외에 제스처 모드와 버튼 모드 모두를 지원합니다.
자신에게 알맞는 조작 방식을 선택하여 자유롭게 플레이하세요!

■ 선수와 아이템을 획득할 수 있는 다양한 시스템
FIFA Mobile에서는 아이템과 선수들을 획득할 수 있는 다양한 컨텐츠를 제공합니다.
다양한 루트를 활용하여 유동적으로 자신의 팀과 선수를 성장시키고 가치를 올리세요!

■ 취향에 맞는 다양한 플레이 모드
공격만을 진행하는 공격모드, 감독으로써 팀을 이끄는 시뮬레이션 리그 등
자신의 취향에 맞게 원하는 방식의 축구를 즐길 수 있습니다!

■ 현실감 있는 이적시장, 선수 교환 시스템
이적시장을 활용하여 자유롭게 원하는 선수를 구매/판매할 수 있으며,
보유한 선수를 활용하여 팀에 필요한 선수로 교환할 수 있습니다!

FIFA Mobile 12월 업데이트 항목

1. 모든 PvP, PvE 모드에서 태클 성공 후 공이 굴러가는 거리를 좁혀서 라이브 구장 대비 태클 성공률이 소폭 상향되었습니다.
2. 모든 PvP, PvE 모드에서 선수 전환이 좀 더 원활하도록 개선되었습니다.
3. 일반 모드, 공격 모드, 매니저 모드에서 경기 시간(낮, 밤, 해질녘) 선택이 가능합니다.
4. PvE 모드, 일반 모드, 공격 모드, 매니저 모드에 해설이 추가되었습니다. 설정 > 경기 해설 > 해설 다운로드 > 활성화 또는 비활성화 선택이 가능합니다.
5. 일반 모드, 매니저 모드 전용 카메라 각도가 추가되었습니다.
6. 새로운 공격 모드 킥오프 상황이 2종 추가되었습니다. 총 3개의 상황 중 1개의 상황이 랜덤으로 배정되며 공격 모드가 시작됨.
7. 공격 모드 프리킥 중 간헐적으로 발생하였던 멈춤 현상이 수정되었습니다.
8. 공격 모드 진행 중 게임 종료 → 재접속 후, 공격 모드에 재진입되는 오류가 수정되었습니다. 단, 공격 모드가 종료 후 1분 30초가 경과되면 해당 경기에 재진입되지 않습니다.
9. 매니저 모드 AI가 개선되었습니다.
11. 경기 시작 전 입장 화면, 하프타임, 경기 종료 화면에 새로운 애니메이션이 추가되었습니다.
12. 라이브 구장보다 향상된 그래픽(60 FPS)을 체험하실 수 있습니다. 설정 > 그래픽에서 설정 가능. (단, 자동 플레이 진행 시에는 30 FPS로 전환되며, 자동 플레이 해제 시 다시 60 FPS로 진행됩니다.)
13. 화면 설정 메뉴의 후처리 기능을 통해 게임의 색감, 그라운드 효과, 선수의 정밀도 등이 향상된 그래픽을 체험하실 수 있습니다. 단, 설정을 변경할 경우 게임 재시작이 필요합니다.
14. 화면 설정 메뉴에서 관중의 정밀도를 없음/보통/정밀로 변경하실 수 있습니다.
15. 사양이 낮은 기기에서 게임이 실행될 경우, 자동으로 낮은 옵션으로 게임이 실행됩니다. 최소 사양을 충족하는 기기에서는 작동되지 않는 기능입니다.

[공식 커뮤니티]
FIFA Mobile의 가장 빠른 소식을 접해보세요!
공식 커뮤니티: https://forum.nexon.com/fifamobile
공식 홈페이지: https://fifamobile.nexon.com/
공식 유튜브 채널: https://youtu.be/6g7MTE_zSZE
공식 페이스북 : https://www.facebook.com/FIFA.MOBILE.KOREA.NEXON


■ 스마트폰 앱 접근권한 안내
앱 이용 시 아래와 같은 서비스를 제공하기 위해 접근 권한을 요청하고 있습니다. 

[필수적 접근권한]
없음

[선택적 접근권한]
사진/미디어/파일 저장: 영상 저장, 사진 및 동영상 업로드 하는데 필요합니다.
카메라: 사진 및 동영상 업로드를 위한 촬영하는데 필요합니다.
전화: 광고성 문자 전송을 위한 휴대폰번호를 수집하는데 필요합니다.

[접근권한 철회 방법]
- 안드로이드 6.0 이상: 설정>앱>권한 항목 선택>권한 목록>접근권한 동의 또는 철회 선택
- 안드로이드 6.0 미만: 운영체제를 업그레이드하여 접근권한을 철회하거나, 앱을 삭제
※ 앱이 개별 동의 기능을 제공하지 않을 수 있으며 위의 방법으로 접근 권한을 철회할 수 있습니다.
----
개발자 연락처 :
1588-7701
""Play Every Moment, FIFA Mobile""

FIFA Mobile is not only fun to build and grow your own team,
It was created with a focus on the performance of players through actual control.

■ FIFA LICENSE
FIFA Mobile is licensed under its own brand.
There are regular live squad updates, and you can meet real clubs and players!

■ Mobile-optimized operation feeling
In addition to automatic/manual operation, FIFA Mobile supports both gesture mode and button mode.
Choose the controls that suit you and play freely!

■ Various systems to acquire players and items
FIFA Mobile offers a variety of content to obtain items and players.
Use a variety of routes to flexibly grow your team and players and increase their value!

■ Various play modes to suit your taste
Attack mode that only proceeds attack, simulation league that leads the team as a manager
You can play football the way you want to suit your taste!

■ Realistic transfer market, player exchange system
You can freely buy/sell the players you want by using the transfer market,
You can use the players you have and exchange them for the players your team needs!

FIFA Mobile December update items

1. In all PvP and PvE modes, the tackle success rate has been slightly increased compared to the live stadium by narrowing the distance the ball rolls after successful tackling.
2. All PvP and PvE modes have been improved to make player switching more smoothly.
3. You can select the game time (day, night, or sunset) in normal mode, attack mode, and manager mode.
4. Commentary has been added to PvE Mode, Normal Mode, Attack Mode, and Manager Mode. You can select Settings> Match Commentary> Download Commentary> Enable or Disable.
5. The camera angle for general mode and manager mode has been added.
6. Two new attack mode kickoff situations have been added. One of the three situations is randomly assigned and the attack mode starts.
7. Fixed a freeze that occurred intermittently during attack mode free kick.
8. Fixed an error in which the game was ended during attack mode → re-entered the attack mode after reconnecting. However, if 1 minute and 30 seconds have elapsed after the end of attack mode, you will not be able to re-enter the match.
9. Manager mode AI has been improved.
11. New animations have been added to the entry screen, half time, and end screens before the game starts.
12. You can experience improved graphics (60 FPS) than the live stadium. Can be set in Settings> Graphics. (However, when automatic play is in progress, it is converted to 30 FPS, and when automatic play is canceled, it goes back to 60 FPS.)
13. Through the post-processing function of the screen setting menu, you can experience the graphics with improved game color, ground effect, and player precision. However, if you change the settings, you need to restart the game.
14. You can change the spectator's precision to None/Normal/Precision in the screen setting menu.
15. If the game is launched on a device with a lower specification, the game will automatically run with the lower option. This feature will not work on devices that meet the minimum specifications.

[Official Community]
Stay in touch with the fastest news from FIFA Mobile!
Official Community: https://forum.nexon.com/fifamobile
Official website: https://fifamobile.nexon.com/
Official Youtube Channel: https://youtu.be/6g7MTE_zSZE
Official Facebook: https://www.facebook.com/FIFA.MOBILE.KOREA.NEXON


■ Smartphone app access permission information
When using the app, we are requesting access to provide the following services.

[Required access rights]
none

[Optional access rights]
Save photo/media/file: It is necessary to save video and upload photos and videos.
Camera: Required to shoot for uploading photos and videos.
Phone: Required to collect mobile phone numbers for sending advertising text messages.

[How to revoke access rights]
-Android 6.0 or higher: Settings> Apps> Select permission item> Permission list> Select consent or withdraw access permission
-Under Android 6.0: Upgrade the operating system to revoke access or delete apps
※ The app may not provide an individual consent function, and you can revoke access by the above method.
","1,000,000+",41098.0,3.3
12,Cat Escape,Casual,"Sneak your way through the guards 4 paws at a time! 😼 😻

🐾 NO KITTEN AROUND! Only above average IQs can solve all puzzles! 🐅
🐾 Enjoy purr-fect graphics and steer your cat to victory!
🐾 As levels go by, it gets increasingly harder - STAY PAWsitive!
🐾 Fur-real: Distract yourself with the best 🐱 game on the market!
","5,000,000+",70104.0,4.2
13,Bubble Shooter,Casual,"🙈Welcome to this exciting world of bubbles for the COOLEST bubble-shots live fun! (🤶🎁🧸 Holiday gifts have been prepared for you in our 2020 games! Celebrate Christmas & Ester Day with our limited time updates! 🎄🎄🎄)

🙌 Show off your bubbles popping skills within Bubble Shooter! Tap to switch and release to shoot! There're all colors of shining bubbles💫, powerful boosters💥 and tons of gorgeous maps diliver you to a new dreamy bubbling world!

Take on Vikings' SAVING saga and see what will happen!!!
Can you burst ALL bubbles and SAVE the genies🐾? 


🌈 FEATURES of Bubble Shooter 2020 bubbles pop game:

★ Once You Pop, You Can't Stop! Bubble Shooter is simple yet addictive! Take challenges, tap and shoot! 💥💥Burst bubbles, 💥💥burst stones, 💥💥burst through the bubble wall and enjoy endless free shots! The satisfying winning feeling fix is never far away!
★ TONS of good levels! Bubble Shooter Viking Pop is renovated from the classic bubble shooter game. 🏋️‍♀️ Advanced colorful gameplay with more brain training levels! Bubble Shooter awaits your jump-in!
★ GORGEOUS MAPS! AWESOME EFFECTS! 🛫 Gentle vibe, 🛬 3D effects and ☄️ awesome bubbles' bursting sound is perfect for thorough relaxation! Relax with this fun popping bubbles' game in a fantstic bubbling world! 
★ ADVENTURE with Vikings!😍 Bubble pop with cute characters, heaps of unlockable new episodes and a massive variery of popping bubbles puzzles, you simply can't get enough!
★ No WiFi! Popping on the go!🏃‍♀️ Enjoy Bubble Shooter offline whenever and wherever you want!🤳 There're new jewelry bubbles, marvelous new boosters, fire balls, genies and bubble boosters!
(💰💰💰Unexpected rewards hidden in Bubble Shooter!)

HOW TO PLAY Bubble Shooter popping bubbles game?
★ Tap👆 on the bubble's Orb and switch🖖 the bubble to that fits your match. Swipe to control the free aim line for a precise bubble shot and shoot bubbles to burst them!
★ Help genies Einherjar get out of the bubble jungle🌳🍄🌳 by shooting through the bubbles wall! Level clear as you navigate the right path!
★ Beat levels to unlock new mysterious episodes and receive extra free bubble shooter rewards💎! Make smart bubble shots to reduce steps and level up your rewards!
★ Merry Chrismas🎄🎄🎄 in Vikings' bubbling world! During Christmas holidays log in daily to get your special Chrismas gifts we packed up for you!

Have fun RECEIVING COINS with Bubble Shooter Vikings Pop! 💥💥💥Blast all bubbles and win every turn-based battles. The ONLY HOPE to save Vikings' world rests in your magical power (burst bubbles!💥💥). 

💪Shoot bubbles with Vikings on way to Valhala! Help Vikings to fourish again!

Note: Bubble Shooter Vikings Pop games 2020 is completely free to play and in game coins can be won for free either. But extra purchase within Bubble Shooter such as extra moves or bubble boosters require payment with real money.

😍 Already a fan of Bubble Shooter 2020 games? 
Like us on☑️ Facebook for the latest news:
https://www.facebook.com/BubbleShooterVikingPop/

Any QnS Please contact:
Bubbleblast@linkdesks.com

👻 A big THANK YOU goes out to everyone who has played our free games 2020 - Bubble Shooter Viking Pop!
","5,000,000+",75931.0,4.8
14,Cookie Run: OvenBreak - Endless Running Platformer,Arcade,"Run, jump, slide, collect, and bake no prisoners! Cookie Run is the endless runner game with deliciously sweet and challenging levels, tons of fun, heart racing running modes, and big rewards!

Race through dynamic side scroller levels for as long as your energy can last! Unlock Cookie characters and collect cute Pets to take on unique challenges in this endless runner game.

Run through platformer stages with fun mission challenges and compete in real-time trophy races for the top spot! Help GingerBrave and his Cookie friends break out of the Witch's oven as you run to the top of the leaderboard!

Collect characters with unique powers and skills, from Hero Cookie to Cocoa Cookie. Build a collection of Pets to pair with your Cookie characters for an even more exciting time! This free cookie game keeps the characters coming and the side scroller levels hot!

Speed run through challenges and compete for a top spot on the leaderboard. This endless runner is filled with competition, especially when you’re racing online against players from around the world! Think you’re a tough cookie? Try not to crumble!

Explore the magical lands of the tasty Cookie World in this endless runner! Download Cookie Run today!

ENDLESS RUNNER
# Side scroller levels: Race through sweet and sugary to perilous and thrilling stages
# Platformer obstacles and challenges 
# Jump and Slide to eat Jellies and other delicious treats while avoiding obstacles

COLLECT PETS & CHARACTERS
# Collect over 200 Cookies & Pets
# Collect a new Cookie & Pet added every month
# Upgrade Cookies, Pets, and Treasures to achieve high scores

FREE COOKIE GAME WITH ENDLESS ADVENTURES
# Story games take you through a sweet adventure with Cookies on the run!
# Collect Cookie characters and get to know them

UNIQUE PLATFORMER GAME MODES
# Breakout Mode: Long relay run with several Cookies
# Trophy Race: Compete with players from around the world
# Cookie Trials: Upgrade each Cookie to full potential and reach high scores
# Champions League: A league only for the toughest
# Island of Memories: Discover Cookies' background stories

ONLINE RUNNER GAME
# New exciting events with awesome rewards every month
# Race online against other players
# RPG-style level up system

Terms of Service:
http://cookierun.com/terms-of-service

Privacy Policy:
http://cookierun.com/privacy-policy

Parental Guide:
http://cookierun.com/en/parental-guide

Help and Support:
https://cs.devsisters.com/cookierun-ovenbreak
or contact us from the game by going to Settings, Help and Support

Official Twitter
https://twitter.com/CookieRun

Official Facebook
https://www.facebook.com/cookierun

Official Youtube
https://www.youtube.com/cookierunglobal

Official Discord
discord.gg/Cn5crQw

The Royal Club Membership is a monthly subscription service that provides double the amount of Gold Tickets, an Affection Booster, and 10% more coins. In addition, you will receive a special monthly gift in your mailbox. You can subscribe to the Royal Club for a monthly subscription of $3.49 (USD) or equivalent amount required in your default currency after conversion. Purchases and renewal of subscriptions will be billed to your account.

Auto-renewal of the membership happens in a period of 24 hours before the exact expiration moment. Please cancel the membership 24 hours prior to the expiration moment to prevent the next auto-renewal from being billed.

At any time, auto-renewal can be canceled via your user settings. After billing, the current subscription cannot be canceled until expiration.

[Optional Permissions]
Photo
- Used to save and share in-game screenshots. (For Events.)

Bluetooth
- Used for the ""Add Nearby Friends"" feature

Location
- Used for the ""Add Nearby Friends"" feature

* Even if you do not agree to allow the above app permissions, you can still use the service to its fullest extent excluding only those functions.

Permission Management
Settings > Privacy > Select App > Permissions > Turn permissions on or off
","10,000,000+",842744.0,4.4
15,Super Penguins,Action,"★★★★★ Help the Penguins rescue their friends and turn the tide against the evil octopus, jump over obstacles and eat delicious fish! in this new ★FREE!★ Android Hit Title!

★ Fun and Colorful Graphics
★ Simple touch & tilt controls - Everyone can play!
★ Lots of fun Powerups - Become a giant mutant penguin or ride a rocket!
★ Unlock new penguins - Choose your favorite characters!
★ Level up your powers - Become stronger and increase your score!
★ Social Features - share your hiscore photos on twitter & facebook!

Join the Arctic Adventure, its ★FREE!★
","10,000,000+",258298.0,4.3
16,Sky Castle - (nonogram),Puzzle,"A fantastic journey to find the castle in the sky you first saw when you were young.
See the beautiful scenery of the sea, mountains and valleys on your journey to the castle.
Solve the puzzles and complete the journey to your wonderful destination.


*Special features*
- Google cloud storage function.
- Hundreds of puzzle games are available.
- Great color dot design to match the map’s themes.
- Detailed puzzle logic check.
- Auto-save for puzzles in play.
- Various level of difficulty (5x5, 10x10, 15x15, 20x20)
- Convenient interface using touch & pad simultaneously.
- Various plays available through single map and big map.
- Hint function.
- Provides a variety of functions for user convenience (auto answer check, Undo / Redo)
- Zoom-in, zoom-out and move function using two fingers.
- One-handed mode support for using in public/crowded places.

License confirmation file
BGM---
Zen Yoga - Music by Manuel Ochoa / Melody Loops
Dreamy Dreamland - Music by AG Music / Melody Loops
Just A Little Hope - Music by AG Music / Melody Loops
","100,000+",4071.0,4.4
17,Grow Castle - Tower Defense,Arcade,"It is a defense game to protect the castle from enemy attack.
If growth can be placed in the castle tower and the hero on each floor.
Archer of the town is becoming a lot more more powerful the more upgrades.

More than 120 heroes can use their own skills.
Some heroes are made to give a strong archers of the town, another hero is cursed enemy.
This strategy is important because only a hero can be mounted up to nine.

When you build colonies and hire workers, you can earn more gold.

Clear up to a higher level, wave and check out your rankings.
Create or join a online guild. You can communicate and play with people around the world.

※ Features
Online guild system
Real-time rankings
Hero promotion system
Addictive without reason
Build your own castle
","10,000,000+",382094.0,4.4
18,Water Sort Puzzle,Puzzle,"Water Sort Puzzle is a fun and addictive puzzle game! Try to sort the colored water in the glasses until all colors in the same glass. A challenging yet relaxing game to exercise your brain!

★ HOW TO PLAY:
• Tap any glass to pour water to another glass.
• The rule is that you can only pour the water if it is linked to the same color and there’s enough space on the glass.
• Try not to get stuck - but don’t worry, you can always restart the level at any time.

★ FEATURES:
• One finger control.
• Multiple unique levels
• FREE & EASY TO PLAY.
• NO penalties & time limits; you can enjoy Water Sort Puzzle at your own pace!

★ NEED HELP? HAVE ANY QUESTIONS? 
• Support email: support@iecglobal.com.au
","10,000,000+",78560.0,3.8
19,Detective S : Mystery game & Find the differences,Adventure,"“P, Please. You know how important this case is to S”

'S' lost one and only family in a button murder case.

There was only one reason she became a detective, to solve that case.
Investigate the crime scene with S and arrest the criminal!
Find the evidence in the crime scene that differences in the scenes, and try to guess the criminal with the information you have acquired!

“Detective S,” the guessing game using Find the Differences
Escape from the cliché!

※SYNOPSIS
S became a detective to avenge his father ""R"". 
He was a police killed by a serial killer 10 years ago.
In the end, neither could the police uncover the case.
""S"" feels the incompetence of the police.

S became a famous detective later, and while she was investigating on a case, she discovers a “wooden button” with a snake carved on it that looked like what was found in R's belongings.
S hears unexpected news while investigating on a case centered on the “wooden button,” a clue that she discovered in five years.

For five years, 'tree buttons' still remain in many places in unsolved murders...
Mr. S goes out with the police to find the escaped criminal.

※ Features of the game
Escape from the cliché!

▶ The crime scene of the case expressed by the differences
Let's get into the police line! He's already escaped!
From the crime scene to the belongings of the suspects
Find the differences between up and down crime scenes and collect evidence!

▶ A variety of characters, mystery stories that make you sweat with excitement
Let's understand various character relationships through webtoons.
Relationship with the victim through the ongoing conversation with the characters,
Let's get information about the evidence in the crime scene!
Discover the secret hidden ion the cases through interrogations!

▶ I am the true detective! Arrest system
This is no ordinary game of Find the Differences~
One of the four suspects is the criminal!
Find the murderer's murder weapon and the evidence that symbolizes the resentment among the evidence acquired from the picture game and arrest the criminal by matching them with the suspects!

▶ The truth of the case solved by webtoons!
The whole story of the event, which is shown in webtoons by chapter!
A webtoon that unfolds the beginning to the progress of the case appears every chapter!
Make your story more vivid! Have fun with playing the game!
","100,000+",5812.0,4.5
20,Rebel Racing,Racing,"There’s a thin line between fast and first…

Join America’s most exclusive road racing event, and take on the world’s elite drivers in high-octane, wheel-to-wheel action! 

With realistic driving physics, speedfreak add-ons and turbos, epic overtakes and stunning West Coast locations, Rebel Racing brings a breath of fresh air to the mobile racing category.

Collect, customize and upgrade a fleet of real-world classics and awesome supercars, then powerslide your way to the top of the Rebel Racing tournament!

- Own supercars and custom classics
- Create fully customized dream cars
- Take on the world’s best drivers, head to head
- Market-leading graphics and FX
- Race real-world licensed cars
- Experience epic moments

Escape the Drag!
","10,000,000+",381436.0,4.4
21,세븐나이츠2,Role Playing,"◈ 게임 소개 ◈
▶ 1,000만명이 즐긴 [세븐나이츠]의 정식 후속작.
[세븐나이츠2]로 이어지는 루디의 이야기를 만나보세요!

▶ 매력적인 영웅들로 나만의 팀 구성.
원작의 개성 넘치는 영웅들과
[세븐나이츠2]만의 오리지널 영웅이 한 자리에
다양한 영웅들을 수집해서 최고의 팀을 만들어 보세요!

▶ CCG + MMO, 독보적 융합 장르.
영웅을 수집하고 성장시키는 CCG의 재미
4명의 영웅을 동시에 조작하는 MMORPG 전투의 재미
두 가지 재미가 합쳐져서 재미가 두 배로!

▶ 보스마다 다른 전략! 화려한 스킬전투의 묘미.
원작의 화려한 스킬 연출이 그대로
강력한 한 방 궁극기와 보스를 제압하는 제압기
새로운 전투를 경험해 보세요!

▶ 원작에서 이어지는 세계관과 스토리.
기존 스토리에서 20년 후로 이어지는 세계관
모바일의 한계를 넘어선 고퀄리티 시네마틱 연출
영화를 보는 듯한 몰입감 높은 스토리를 즐겨 보세요!

◈ 공식 사이트 ◈
홈페이지: http://sk2.netmarble.com
포럼: http://forum.netmarble.com/sk2
페이스북: https://www.facebook.com/sk2official

[접근권한 안내]
- 필수/선택적 접근권한: 없음
====================================================
[상품 정보 및 이용 조건 안내]
※ 유료 아이템 구매 시 별도의 요금이 부과됩니다.
※ 태블릿 기기에서도 원활히 플레이 하실 수 있습니다.

- 공급자: 넷마블㈜ 대표집행임원 권영식, 이승원
- 이용조건 및 기간: 게임 내 별도 고지된 내용에 따름
(사용기간이 표시되지 않은 경우, 서비스의 종료일까지를 사용기간으로 간주)
- 결제금액 및 방법: 상품 별 별도 고지된 결제금액 및 결제방법에 따름
(외화 결제 시 환율 및 수수료 등으로 인해 실제 청구금액과 다를 수 있음)
- 상품지급방식: 게임 내 구매한 아이디(캐릭터)로 즉시 지급
- 최소사양: AOS 7 이상, RAM 3GB 
- 주소: 서울특별시 구로구 디지털로 300
- 사업자 번호: 105-87-64746
- 통신판매업 번호: 제 2014-서울구로-1028 호

- 이용약관 : http://help.netmarble.com/policy/terms_of_service.asp?locale=ko
- 개인정보 처리방침 : http://help.netmarble.com/policy/privacy_policy.asp?locale=ko
- 서비스 운영 정책 : https://help.netmarble.com/web/sknightsmmo/policy

- 고객센터: 1588-3995 (평일 오전9시~오후6시 상담가능)
- 사업자 이메일 : netmarbles@igsinc.co.kr
----
개발자 연락처 :
Netmarble
고객센터 연락처: 02-1588-3995 
서울시 구로구 디지털로 300 지밸리비즈플라자 20층
사업자 번호 : 105-87-64746 
통신판매업 번호 : 제2014-서울구로-1028호
◈ Game Introduction ◈
▶ The official sequel to [Seven Knights] enjoyed by 10 million people.
Meet Rudy's story leading to [Seven Knights 2]!

▶ Build your own team with charming heroes.
With the original heroes
The original hero of [Seven Knights 2] in one place
Collect various heroes and build the best team!

▶ CCG + MMO, a unique fusion genre.
CCG's fun to collect and grow heroes
The fun of MMORPG battles where you control 4 heroes at the same time
The two fun combined to double the fun!

▶ Different strategies for each boss! The beauty of brilliant skill battles.
The brilliant skill direction of the original is the same
Powerful one-shot ultimate and suppressor to overpower bosses
Experience a new battle!

▶ The worldview and story continuing from the original.
A view of the world that continues 20 years from the existing story
High-quality cinematic production beyond the limits of mobile
Enjoy an immersive story like watching a movie!

◈ Official site ◈
Homepage: http://sk2.netmarble.com
Forum: http://forum.netmarble.com/sk2
Facebook: https://www.facebook.com/sk2official

[Access Permission Information]
-Mandatory/optional access rights: None
================================================== ==
[Product information and terms of use]
※ A separate fee will be charged for purchasing paid items.
※ You can play smoothly on tablet devices.

-Provider: Netmarble Co., Ltd. Representative Executive Officer Youngsik Kwon, Seungwon Lee
-Terms of use and period: according to the content notified separately in the game
(If the period of use is not indicated, the period until the end of the service is regarded as the period of use)
-Payment amount and method: According to the payment amount and payment method separately notified for each product
(For foreign currency payments, it may differ from the actual billed amount due to exchange rates and fees)
-Product payment method: Immediate payment with the ID (character) purchased in the game
-Minimum specification: AOS 7 or higher, RAM 3GB
-Address: 300 Digital-ro, Guro-gu, Seoul
-Business number: 105-87-64746
-Mail-order business number: 2014-Seoul Guro-1028

-Terms of use: http://help.netmarble.com/policy/terms_of_service.asp?locale=en
-Privacy Policy: http://help.netmarble.com/policy/privacy_policy.asp?locale=en
-Service Operation Policy: https://help.netmarble.com/web/sknightsmmo/policy

-Customer Center: 1588-3995 (Available on weekdays from 9 am to 6 pm)
-Business email: netmarbles@igsinc.co.kr
","1,000,000+",40677.0,4.0
